"","time","ele","dist_km","dist_total","speed"
"1",2021-03-27 10:26:02,37,0.00811724238590937,0,0
"2",2021-03-27 10:26:04,37,0.00523286768259069,0.00523286768259069,0.941916182866324
"3",2021-03-27 10:26:06,37,0.00320408004034467,0.00843694772293536,1.15346881452408
"4",2021-03-27 10:26:07,37,0.00215326131035072,0.0105902090332861,0.38758703586313
"5",2021-03-27 10:26:09,37,0.0033384770420281,0.0139286860753142,1.20185173513012
"6",2021-03-27 10:26:10,37,0.0019755614430202,0.0159042475183344,0.355601059743636
"7",2021-03-27 10:26:12,37,0.00362989526712854,0.0195341427854629,0.653381148083138
"8",2021-03-27 10:26:14,37,0.000554336680397387,0.0200884794658603,0.0665204016476864
"9",2021-03-27 10:26:17,37,0.00284745377539519,0.0229359332412555,1.02508335914227
"10",2021-03-27 10:26:18,37,0.000570806325469798,0.0235067395667253,0.102745138584564
"11",2021-03-27 10:26:20,37,0.00378844314971349,0.0272951827164388,0.681919766948428
"12",2021-03-27 10:26:22,37,0.00893828896202635,0.0362334716784651,1.60889201316474
"13",2021-03-27 10:26:24,37,0.00986727715196919,0.0461007488304343,3.55221977470891
"14",2021-03-27 10:26:25,37,0.0109022059312202,0.0570029547616545,3.92479413523926
"15",2021-03-27 10:26:26,37,0.0103825535018096,0.0673855082634641,3.73771926065147
"16",2021-03-27 10:26:27,37,0.0104657351435775,0.0778512434070417,1.88383232584396
"17",2021-03-27 10:26:29,37,0.0103162373757907,0.0881674807828323,1.85692272764232
"18",2021-03-27 10:26:31,37,0.00101713912844571,0.0891846199112781,0.366170086240456
"19",2021-03-27 10:26:32,37,0.000555975505262185,0.0897405954165402,0.200151181894387
"20",2021-03-27 10:26:33,37,0.000646966757193959,0.0903875621737342,0.232908032589825
"21",2021-03-27 10:26:34,37,0.00025878670937261,0.0906463488831068,0.0931632153741395
"22",2021-03-27 10:26:35,37,6.61686467401094e-05,0.0907125175298469,0.0119103564132197
"23",2021-03-27 10:26:37,37,0,0.0907125175298469,0
"24",2021-03-27 10:26:39,37,0,0.0907125175298469,0
"25",2021-03-27 10:26:40,37,0,0.0907125175298469,0
"26",2021-03-27 10:26:42,37,0,0.0907125175298469,0
"27",2021-03-27 10:27:01,37,0.00488344095362196,0.0955959584834689,1.75803874330391
"28",2021-03-27 10:27:02,37,0.00223409118725102,0.0978300496707199,0.402136413705184
"29",2021-03-27 10:27:04,37,0.00715976898530271,0.104989818656023,1.28875841735449
"30",2021-03-27 10:27:06,37,0.0138309592639739,0.118820777919997,2.4895726675153
"31",2021-03-27 10:27:08,37,0.0110376262112944,0.129858404131291,3.97354543606599
"32",2021-03-27 10:27:09,37,0.00189818520948339,0.131756589340774,0.683346675414021
"33",2021-03-27 10:27:10,37,0.00140948147532563,0.1331660708161,0.253706665558614
"34",2021-03-27 10:27:12,37,0.00150560670247139,0.134671677518571,0.542018412889702
"35",2021-03-27 10:27:13,37,0.00187930840127052,0.136550985919842,0.338275512228693
"36",2021-03-27 10:27:15,37,0.00303834375426909,0.139589329674111,1.09380375153687
"37",2021-03-27 10:27:16,37,0.00106565983124949,0.14065498950536,0.191818769624909
"38",2021-03-27 10:27:18,37,0.00442768012431787,0.145082669629678,1.59396484475443
"39",2021-03-27 10:27:19,37,0.00183331393309799,0.146915983562776,0.659993015915275
"40",2021-03-27 10:27:20,37,0.00200509680564203,0.148921080368418,0.360917425015565
"41",2021-03-27 10:27:22,37,0.00149048848477185,0.15041156885319,0.268287927258933
"42",2021-03-27 10:27:24,37,0.000814709858482139,0.151226278711672,0.00682082672217605
"43",2021-03-27 10:28:07,37,0.015038726795991,0.166265005507663,2.70697082327838
"44",2021-03-27 10:28:09,37,0.00139065317463477,0.167655658682298,0.500635142868517
"45",2021-03-27 10:28:10,37,0.000517573576235584,0.168173232258534,0.18632648744481
"46",2021-03-27 10:28:11,37,0.000358876520622937,0.168532108779157,0.0645977737121287
"47",2021-03-27 10:28:13,37,0.000691405017077364,0.169223513796234,0.248905806147851
"48",2021-03-27 10:28:14,37,0.000463181160497057,0.169686694956731,0.0833726088894702
"49",2021-03-27 10:28:16,37,0.000574167857903637,0.170260862814635,0.103350214422655
"50",2021-03-27 10:28:18,37,0.000258786808270696,0.170519649622905,0.0931632509774505
"51",2021-03-27 10:28:19,37,0.000129393405321377,0.170649043028227,0.0465816259156956
"52",2021-03-27 10:28:20,37,0.000129393404895151,0.170778436433122,0.0465816257622545
"53",2021-03-27 10:28:21,37,6.61687465605488e-05,0.170844605179682,0.0119103743808988
"54",2021-03-27 10:28:23,37,0.000198506239719184,0.171043111419402,0.0714622462989064
"55",2021-03-27 10:28:24,37,6.61687466150234e-05,0.171109280166017,0.000372199199709506
"56",2021-03-27 10:29:28,37,0.00603399438465335,0.17714327455067,1.0861189892376
"57",2021-03-27 10:29:30,37,0.00368432285882841,0.180827597409498,1.32635622917823
"58",2021-03-27 10:29:31,37,0.000892018340157368,0.181719615749656,0.321126602456653
"59",2021-03-27 10:29:32,37,0.000670443809622096,0.182390059559278,0.120679885731977
"60",2021-03-27 10:29:34,37,0.000425830558542329,0.18281589011782,0.153299001075239
"61",2021-03-27 10:29:35,37,0.000232025178407414,0.183047915296228,0.0417645321133345
"62",2021-03-27 10:29:37,37,0.000635687154390745,0.183683602450618,0.228847375580668
"63",2021-03-27 10:29:38,37,0.00108180276221772,0.184765405212836,0.38944899439838
"64",2021-03-27 10:29:39,37,0.000349029169365867,0.185114434382202,0.125650500971712
"65",2021-03-27 10:29:40,37,0.000129393319227511,0.185243827701429,0.023290797460952
