"","ele","dist_km","dist_total","speed","times"
"1",28.7,0.010908843804854,0,0,"10:26:01"
"2",28.5,0.00878385912119434,0.00878385912119434,1.58109464181498,"10:26:02"
"3",28.3,0.00740630404158387,0.0161901631627782,2.66626945497019,"10:26:04"
"4",28.2,0.00310557871193165,0.0192957418747098,0.559004168147697,"10:26:05"
"5",28.2,0.00293753960808588,0.0222332814827957,1.05751425891092,"10:26:07"
"6",28,0.00221807042161296,0.0244513519044087,0.399252675890332,"10:26:08"
"7",28,0.00538327258591069,0.0298346244903194,0.968989065463924,"10:26:10"
"8",27.9,0.00550444052355026,0.0353390650138696,0.990799294239046,"10:26:12"
"9",27.8,0.00370454818032328,0.0390436131941929,1.33363734491638,"10:26:14"
"10",27.7,0.00205753959609711,0.04110115279029,0.740714254594959,"10:26:15"
"11",27.7,0.00119606639123451,0.0422972191815245,0.430583900844423,"10:26:16"
"12",27.7,0.00120979180408022,0.0435070109856047,0.21776252473444,"10:26:17"
"13",27.7,0.00228347125433997,0.0457904822399447,0.411024825781195,"10:26:19"
"14",27.7,0.00540780455123721,0.0511982867911819,0.973404819222698,"10:26:21"
"15",27.7,0.0019224451789493,0.0531207319701312,0.692080264421748,"10:26:23"
"16",27.7,0.00251455264319016,0.0556352846133214,0.905238951548456,"10:26:24"
"17",27.7,0.00246902252682456,0.0581043071401459,0.444424054828421,"10:26:25"
"18",27.8,0.00515905326560637,0.0632633604057523,0.928629587809147,"10:26:27"
"19",27.9,0.00725874490572956,0.0705221053114819,2.61314816606264,"10:26:29"
"20",28,0.0028469110236288,0.0733690163351107,0.512443984253184,"10:26:30"
"21",28.1,0.00518779846284397,0.0785568147979546,1.86760744662383,"10:26:32"
"22",28.2,0.00298017719533516,0.0815369919932898,0.536431895160329,"10:26:33"
"23",28.2,0.00540991227027284,0.0869469042635626,1.94756841729822,"10:26:35"
"24",28.3,0.00436797685231321,0.0913148811158759,0.786235833416378,"10:26:36"
